isbn,isbn13,isbn10,title,author,authors,category,categories,publisher,year,published_year,description,keywords,language,availability,availability_status,copies,copies_available,total_copies,copies_total,borrowed_count,expected_return,expected_return_date,shelf,shelf_location,popularity_score,difficulty_level,target_audience,table_of_contents,average_rating,ratings_count,source,semantic_text,combined
9789310000000,9789310000000,8100000000,Applied Artificial Intelligence: Ai Casebook 1,A. Sharma,A. Sharma,Artificial Intelligence,Artificial Intelligence,Pearson,2014,2014,"Applied Artificial Intelligence: Ai Casebook 1 is designed for college library users studying Artificial Intelligence. It explains AI, machine learning, and neural networks with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Artificial Intelligence; AI; AI; machine learning; neural networks; search; knowledge representation; NLP,English,Borrowed,Borrowed,0,0,2,2,2,2026-06-14,2026-06-14,A-01-1,A-01-1,0.45,Advanced,CSE students; AI engineers; ML students,Introduction to Artificial Intelligence; Core concepts in AI; Tools and methods for machine learning; Solved examples; Mini project and assessment questions,3.4,50,books.csv,"Applied Artificial Intelligence: Ai Casebook 1 A. Sharma Artificial Intelligence Applied Artificial Intelligence: Ai Casebook 1 is designed for college library users studying Artificial Intelligence. It explains AI, machine learning, and neural networks with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Artificial Intelligence; AI; AI; machine learning; neural networks; search; knowledge representation; NLP","Applied Artificial Intelligence: Ai Casebook 1 A. Sharma Artificial Intelligence Applied Artificial Intelligence: Ai Casebook 1 is designed for college library users studying Artificial Intelligence. It explains AI, machine learning, and neural networks with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Artificial Intelligence; AI; AI; machine learning; neural networks; search; knowledge representation; NLP"
9789310000001,9789310000001,8100000001,Applied Machine Learning: Unsupervised Learning Casebook 1,R. Kumar,R. Kumar,Machine Learning,Machine Learning,McGraw Hill,2015,2015,"Applied Machine Learning: Unsupervised Learning Casebook 1 is designed for college library users studying Machine Learning. It explains supervised learning, unsupervised learning, and model evaluation with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Machine Learning; unsupervised learning; supervised learning; unsupervised learning; model evaluation; feature engineering; Python,English,Available,Available,2,2,3,3,2,,,B-02-2,B-02-2,0.62,Intermediate,ML students; data science students; AI engineers,Introduction to Machine Learning; Core concepts in unsupervised learning; Tools and methods for unsupervised learning; Solved examples; Mini project and assessment questions,4.1,147,books.csv,"Applied Machine Learning: Unsupervised Learning Casebook 1 R. Kumar Machine Learning Applied Machine Learning: Unsupervised Learning Casebook 1 is designed for college library users studying Machine Learning. It explains supervised learning, unsupervised learning, and model evaluation with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Machine Learning; unsupervised learning; supervised learning; unsupervised learning; model evaluation; feature engineering; Python","Applied Machine Learning: Unsupervised Learning Casebook 1 R. Kumar Machine Learning Applied Machine Learning: Unsupervised Learning Casebook 1 is designed for college library users studying Machine Learning. It explains supervised learning, unsupervised learning, and model evaluation with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Machine Learning; unsupervised learning; supervised learning; unsupervised learning; model evaluation; feature engineering; Python"
9789310000002,9789310000002,8100000002,Statistical Data Science: Visualization Casebook 1,S. Iyer,S. Iyer,Data Science,Data Science,Oxford University Press,2016,2016,"Statistical Data Science: Visualization Casebook 1 is designed for college library users studying Data Science. It explains statistics, data analysis, and visualization with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Data Science; visualization; statistics; data analysis; visualization; data cleaning; predictive modeling,English,Available,Available,3,3,4,4,3,,,C-03-3,C-03-3,0.79,Intermediate,data science students; analysts; research students,Introduction to Data Science; Core concepts in visualization; Tools and methods for data analysis; Solved examples; Mini project and assessment questions,4.8,244,books.csv,"Statistical Data Science: Visualization Casebook 1 S. Iyer Data Science Statistical Data Science: Visualization Casebook 1 is designed for college library users studying Data Science. It explains statistics, data analysis, and visualization with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Data Science; visualization; statistics; data analysis; visualization; data cleaning; predictive modeling","Statistical Data Science: Visualization Casebook 1 S. Iyer Data Science Statistical Data Science: Visualization Casebook 1 is designed for college library users studying Data Science. It explains statistics, data analysis, and visualization with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Data Science; visualization; statistics; data analysis; visualization; data cleaning; predictive modeling"
9789310000003,9789310000003,8100000003,Clean Programming: Oop Casebook 1,Meera Nair,Meera Nair,Programming,Programming,Cambridge University Press,2017,2017,"Clean Programming: Oop Casebook 1 is designed for college library users studying Programming. It explains Python, Java, and C++ with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Programming; OOP; Python; Java; C++; OOP; debugging; software design,English,Available,Available,4,4,5,5,4,,,D-04-4,D-04-4,0.96,Intermediate,first-year students; CSE students; programming beginners,Introduction to Programming; Core concepts in OOP; Tools and methods for Java; Solved examples; Mini project and assessment questions,3.9,341,books.csv,"Clean Programming: Oop Casebook 1 Meera Nair Programming Clean Programming: Oop Casebook 1 is designed for college library users studying Programming. It explains Python, Java, and C++ with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Programming; OOP; Python; Java; C++; OOP; debugging; software design","Clean Programming: Oop Casebook 1 Meera Nair Programming Clean Programming: Oop Casebook 1 is designed for college library users studying Programming. It explains Python, Java, and C++ with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Programming; OOP; Python; Java; C++; OOP; debugging; software design"
9789310000004,9789310000004,8100000004,Designing Database Systems: Nosql Casebook 1,K. Srinivasan,K. Srinivasan,Database Systems,Database Systems,MIT Press,2018,2018,"Designing Database Systems: Nosql Casebook 1 is designed for college library users studying Database Systems. It explains SQL, normalization, and transactions with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Database Systems; NoSQL; SQL; normalization; transactions; query optimization; NoSQL,English,Available,Available,5,5,6,6,5,,,E-05-5,E-05-5,0.58,Intermediate,CSE students; backend developers; database administrators,Introduction to Database Systems; Core concepts in NoSQL; Tools and methods for normalization; Solved examples; Mini project and assessment questions,4.6,438,books.csv,"Designing Database Systems: Nosql Casebook 1 K. Srinivasan Database Systems Designing Database Systems: Nosql Casebook 1 is designed for college library users studying Database Systems. It explains SQL, normalization, and transactions with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Database Systems; NoSQL; SQL; normalization; transactions; query optimization; NoSQL","Designing Database Systems: Nosql Casebook 1 K. Srinivasan Database Systems Designing Database Systems: Nosql Casebook 1 is designed for college library users studying Database Systems. It explains SQL, normalization, and transactions with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Database Systems; NoSQL; SQL; normalization; transactions; query optimization; NoSQL"
9789310000005,9789310000005,8100000005,Cyber Cybersecurity: Security Casebook 1,Priya Menon,Priya Menon,Cybersecurity,Cybersecurity,O'Reilly Media,2019,2019,"Cyber Cybersecurity: Security Casebook 1 is designed for college library users studying Cybersecurity. It explains security, cryptography, and penetration testing with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Cybersecurity; security; security; cryptography; penetration testing; risk; secure coding,English,Available,Available,6,6,7,7,6,,,F-06-6,F-06-6,0.75,Beginner,cybersecurity students; CSE students; security analysts,Introduction to Cybersecurity; Core concepts in security; Tools and methods for cryptography; Solved examples; Mini project and assessment questions,3.7,535,books.csv,"Cyber Cybersecurity: Security Casebook 1 Priya Menon Cybersecurity Cyber Cybersecurity: Security Casebook 1 is designed for college library users studying Cybersecurity. It explains security, cryptography, and penetration testing with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Cybersecurity; security; security; cryptography; penetration testing; risk; secure coding","Cyber Cybersecurity: Security Casebook 1 Priya Menon Cybersecurity Cyber Cybersecurity: Security Casebook 1 is designed for college library users studying Cybersecurity. It explains security, cryptography, and penetration testing with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Cybersecurity; security; security; cryptography; penetration testing; risk; secure coding"
9789310000006,9789310000006,8100000006,Wireless Computer Networks: Routing Casebook 1,Daniel Roberts,Daniel Roberts,Computer Networks,Computer Networks,Springer,2020,2020,"Wireless Computer Networks: Routing Casebook 1 is designed for college library users studying Computer Networks. It explains TCP/IP, routing, and switching with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Computer Networks; routing; TCP/IP; routing; switching; protocols; network security,English,Available,Available,7,7,8,8,7,,,A-07-7,A-07-7,0.92,Intermediate,CSE students; ECE students; network engineers,Introduction to Computer Networks; Core concepts in routing; Tools and methods for routing; Solved examples; Mini project and assessment questions,4.4,632,books.csv,"Wireless Computer Networks: Routing Casebook 1 Daniel Roberts Computer Networks Wireless Computer Networks: Routing Casebook 1 is designed for college library users studying Computer Networks. It explains TCP/IP, routing, and switching with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Computer Networks; routing; TCP/IP; routing; switching; protocols; network security","Wireless Computer Networks: Routing Casebook 1 Daniel Roberts Computer Networks Wireless Computer Networks: Routing Casebook 1 is designed for college library users studying Computer Networks. It explains TCP/IP, routing, and switching with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Computer Networks; routing; TCP/IP; routing; switching; protocols; network security"
9789310000007,9789310000007,8100000007,Linux Operating Systems: File Systems Casebook 1,Nisha Verma,Nisha Verma,Operating Systems,Operating Systems,Wiley,2021,2021,"Linux Operating Systems: File Systems Casebook 1 is designed for college library users studying Operating Systems. It explains processes, memory management, and file systems with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Operating Systems; file systems; processes; memory management; file systems; scheduling; Linux,English,Borrowed,Borrowed,0,0,9,9,16,2026-06-21,2026-06-21,B-08-8,B-08-8,0.54,Intermediate,CSE students; systems programmers; exam preparation students,Introduction to Operating Systems; Core concepts in file systems; Tools and methods for memory management; Solved examples; Mini project and assessment questions,3.5,729,books.csv,"Linux Operating Systems: File Systems Casebook 1 Nisha Verma Operating Systems Linux Operating Systems: File Systems Casebook 1 is designed for college library users studying Operating Systems. It explains processes, memory management, and file systems with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Operating Systems; file systems; processes; memory management; file systems; scheduling; Linux","Linux Operating Systems: File Systems Casebook 1 Nisha Verma Operating Systems Linux Operating Systems: File Systems Casebook 1 is designed for college library users studying Operating Systems. It explains processes, memory management, and file systems with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Operating Systems; file systems; processes; memory management; file systems; scheduling; Linux"
9789310000008,9789310000008,8100000008,Engineering Software Engineering: Devops Casebook 1,Arun Patel,Arun Patel,Software Engineering,Software Engineering,Apress,2022,2022,"Engineering Software Engineering: Devops Casebook 1 is designed for college library users studying Software Engineering. It explains requirements, design patterns, and testing with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Software Engineering; DevOps; requirements; design patterns; testing; DevOps; project management,English,Available,Available,1,1,2,2,9,,,C-09-1,C-09-1,0.71,Intermediate,CSE students; software engineers; project teams,Introduction to Software Engineering; Core concepts in DevOps; Tools and methods for design patterns; Solved examples; Mini project and assessment questions,4.2,826,books.csv,"Engineering Software Engineering: Devops Casebook 1 Arun Patel Software Engineering Engineering Software Engineering: Devops Casebook 1 is designed for college library users studying Software Engineering. It explains requirements, design patterns, and testing with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Software Engineering; DevOps; requirements; design patterns; testing; DevOps; project management","Engineering Software Engineering: Devops Casebook 1 Arun Patel Software Engineering Engineering Software Engineering: Devops Casebook 1 is designed for college library users studying Software Engineering. It explains requirements, design patterns, and testing with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Software Engineering; DevOps; requirements; design patterns; testing; DevOps; project management"
9789310000009,9789310000009,8100000009,Scalable Cloud Computing: Microservices Casebook 1,Leena Thomas,Leena Thomas,Cloud Computing,Cloud Computing,PHI Learning,2023,2023,"Scalable Cloud Computing: Microservices Casebook 1 is designed for college library users studying Cloud Computing. It explains virtualization, containers, and Kubernetes with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference.",Cloud Computing; microservices; virtualization; containers; Kubernetes; AWS; microservices,English,Available,Available,1,1,3,3,11,,,D-10-2,D-10-2,0.88,Intermediate,cloud engineers; CSE students; DevOps learners,Introduction to Cloud Computing; Core concepts in microservices; Tools and methods for containers; Solved examples; Mini project and assessment questions,4.9,923,books.csv,"Scalable Cloud Computing: Microservices Casebook 1 Leena Thomas Cloud Computing Scalable Cloud Computing: Microservices Casebook 1 is designed for college library users studying Cloud Computing. It explains virtualization, containers, and Kubernetes with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Cloud Computing; microservices; virtualization; containers; Kubernetes; AWS; microservices","Scalable Cloud Computing: Microservices Casebook 1 Leena Thomas Cloud Computing Scalable Cloud Computing: Microservices Casebook 1 is designed for college library users studying Cloud Computing. It explains virtualization, containers, and Kubernetes with examples, exercises, and project-oriented cases. The book is useful for semester study, lab preparation, interviews, and capstone project reference. Cloud Computing; microservices; virtualization; containers; Kubernetes; AWS; microservices"
